Cell,COSMICnum,TCGALabel
MDA-MB-468,908123,BRCA
MFM-223,910948,BRCA
MRK-nu-1,908151,BRCA
OCUB-M,909256,BRCA
T47D,905945,BRCA
UACC-812,910910,BRCA
UACC-893,909778,BRCA
ZR-75-30,909907,BRCA
C2BBe1,910700,COAD/READ
CaR-1,924108,COAD/READ
CCK-81,1240123,COAD/READ
CL-11,1290769,COAD/READ
CL-40,1240124,COAD/READ
COLO-205,905961,COAD/READ
COLO-320-HSR,910569,COAD/READ
COLO-678,910689,COAD/READ
CW-2,910554,COAD/READ
GP5d,907291,COAD/READ
HCC2998,905971,COAD/READ
HCC-56,1290907,COAD/READ
HCT-116,905936,COAD/READ
HCT-15,905937,COAD/READ
HT-115,907289,COAD/READ
HT-29,905939,COAD/READ
HT55,907287,COAD/READ
KM12,905989,COAD/READ
LoVo,907790,COAD/READ
LS-1034,917486,COAD/READ
LS-123,907792,COAD/READ
LS-180,998189,COAD/READ
LS-411N,907794,COAD/READ
LS-513,907795,COAD/READ
MDST8,1240173,COAD/READ
NCI-H630,908482,COAD/READ
NCI-H716,908458,COAD/READ
NCI-H747,908457,COAD/READ
RCM-1,909263,COAD/READ
RKO,909698,COAD/READ
SK-CO-1,909718,COAD/READ
SNU-1040,1659823,COAD/READ
SNU-175,1659928,COAD/READ
SNU-407,1660034,COAD/READ
SNU-61,1660035,COAD/READ
SNU-81,1660036,COAD/READ
SNU-C1,910905,COAD/READ
SNU-C2B,909740,COAD/READ
SNU-C5,1674021,COAD/READ
SW1116,909746,COAD/READ
SW1417,909747,COAD/READ
SW1463,909748,COAD/READ
SW48,909751,COAD/READ
SW837,909755,COAD/READ
SW948,909757,COAD/READ
T84,909761,COAD/READ
C3A,910850,LIHC
Hep 3B2_1-7,1240147,LIHC
HLE,907057,LIHC
huH-1,1298146,LIHC
HuH-7,907071,LIHC
JHH-1,1298151,LIHC
JHH-6,1240159,LIHC
JHH-7,1240160,LIHC
SK-HEP-1,909719,LIHC
SNU-182,1240216,LIHC
SNU-387,909736,LIHC
SNU-398,1240217,LIHC
SNU-423,909737,LIHC
SNU-449,909738,LIHC
SNU-475,909739,LIHC
23132-87,910924,STAD
AGS,906790,STAD
FU97,1290806,STAD
GCIY,906869,STAD
GT3TKB,907041,STAD
HGC-27,907055,STAD
Hs746T,1240151,STAD
HSC-39,1322224,STAD
IM-95,1240155,STAD
KATOIII,907276,STAD
MKN28,908139,STAD
MKN45,925340,STAD
MKN7,924250,STAD
NCI-N87,908461,STAD
NCI-SNU-1,908444,STAD
NCI-SNU-16,908446,STAD
NCI-SNU-5,908445,STAD
NUGC-3,908455,STAD
NUGC-4,1298357,STAD
OCUM-1,1298358,STAD
RERF-GC-1B,1240209,STAD
RF-48,909697,STAD
SK-GT-2,1503364,STAD
TGBC11TKB,909770,STAD
SW13,909744,ACC
769-P,910922,KIRC
786-0,905947,KIRC
A498,905948,KIRC
A704,910920,KIRC
ACHN,905950,KIRC
BB65-RCC,753533,KIRC
BFTC-909,910698,KIRC
CAKI-1,905963,KIRC
CAL-54,910952,KIRC
HA7-RCC,753558,KIRC
KMRC-1,1298168,KIRC
KMRC-20,1298169,KIRC
LB1047-RCC,753577,KIRC
LB2241-RCC,753578,KIRC
LB996-RCC,753585,KIRC
NCC010,1509073,KIRC
NCC021,1509074,KIRC
OS-RC-2,909250,KIRC
RCC10RGB,909974,KIRC
RCC-AB,1524418,KIRC
RCC-ER,1524417,KIRC
RCC-FG2,1524414,KIRC
RCC-JW,1524416,KIRC
RCC-MF,1524419,KIRC
RXF393,905978,KIRC
SN12C,905979,KIRC
TK10,905980,KIRC
U031,905981,KIRC
VMRC-RCZ,909781,KIRC
201T,1287381,LUAD
A549,905949,LUAD
ABC-1,906791,LUAD
Calu-3,687777,LUAD
Calu-6,724859,LUAD
COR-L105,906805,LUAD
EKVX,905970,LUAD
EMC-BAC-1,1503369,LUAD
EMC-BAC-2,1503370,LUAD
H3255,1247873,LUAD
HCC-44,1240145,LUAD
HCC-78,1290908,LUAD
HCC-827,1240146,LUAD
LC-2-ad,907786,LUAD
LXF-289,753592,LUAD
NCI-H1355,724866,LUAD
NCI-H1395,684681,LUAD
NCI-H1435,1298347,LUAD
NCI-H1563,753600,LUAD
NCI-H1568,1298348,LUAD
NCI-H1573,908472,LUAD
NCI-H1623,687798,LUAD
NCI-H1648,687799,LUAD
NCI-H1650,687800,LUAD
NCI-H1651,910900,LUAD
NCI-H1666,908473,LUAD
NCI-H1693,687802,LUAD
NCI-H1734,722058,LUAD
NCI-H1755,908475,LUAD
NCI-H1781,1298350,LUAD
NCI-H1792,724868,LUAD
NCI-H1793,908463,LUAD
NCI-H1838,687807,LUAD
NCI-H1944,1240185,LUAD
NCI-H1975,924244,LUAD
NCI-H1993,908476,LUAD
NCI-H2009,724873,LUAD
NCI-H2023,1240187,LUAD
NCI-H2030,722045,LUAD
NCI-H2085,687812,LUAD
NCI-H2087,724834,LUAD
NCI-H2122,722046,LUAD
NCI-H2228,687816,LUAD
NCI-H2291,724874,LUAD
NCI-H23,905942,LUAD
NCI-H2342,687819,LUAD
NCI-H2347,687820,LUAD
NCI-H2405,687821,LUAD
NCI-H3122,1240190,LUAD
NCI-H322M,905967,LUAD
NCI-H358,908465,LUAD
NCI-H441,908460,LUAD
NCI-H522,905944,LUAD
NCI-H650,722066,LUAD
NCI-H838,910399,LUAD
PC-14,753608,LUAD
RERF-LC-KJ,1298537,LUAD
RERF-LC-MS,910931,LUAD
SK-LU-1,909721,LUAD
SW1573,724878,LUAD
A427,910851,UNABLE TO CLASSIFY
BEN,753534,UNABLE TO CLASSIFY
CAL-12T,753540,UNABLE TO CLASSIFY
ChaGo-K-1,687596,UNABLE TO CLASSIFY
NCI-H1770,687804,UNABLE TO CLASSIFY
NCI-H2110,1298351,UNABLE TO CLASSIFY
NCI-H2135,1298352,UNABLE TO CLASSIFY
NCI-H2172,1298353,UNABLE TO CLASSIFY
NCI-H2444,1298356,UNABLE TO CLASSIFY
EBC-1,753554,LUSC
EPLC-272H,753556,LUSC
HARA,1240142,LUSC
HCC-15,1240143,LUSC
KNS-62,753569,LUSC
LC-1-sq,1298223,LUSC
LK-2,687787,LUSC
LOU-NH91,1298226,LUSC
NCI-H1869,1240183,LUSC
NCI-H2170,687815,LUSC
NCI-H226,905941,LUSC
NCI-H520,908443,LUSC
RERF-LC-Sq1,1298538,LUSC
SK-MES-1,909728,LUSC
SW900,724879,LUSC
COR-L321,1322213,UNABLE TO CLASSIFY
COLO-668,910692,SCLC
COR-L279,910937,SCLC
COR-L303,1297438,SCLC
COR-L311,687980,SCLC
COR-L32,1322212,SCLC
COR-L88,906808,SCLC
CPC-N,753547,SCLC
DMS-114,687983,SCLC
DMS-273,687985,SCLC
DMS-53,907295,SCLC
IST-SL1,753564,SCLC
IST-SL2,753565,SCLC
LB647-SCLC,753582,SCLC
LU-134-A,753588,SCLC
LU-135,713899,SCLC
LU-139,713878,SCLC
LU-165,753589,SCLC
MS-1,753594,SCLC
NCI-H1048,687995,SCLC
NCI-H1092,687997,SCLC
NCI-H1105,908468,SCLC
NCI-H1341,1330964,SCLC
NCI-H1417,688001,SCLC
NCI-H1436,908469,SCLC
NCI-H146,910899,SCLC
NCI-H1688,1298349,SCLC
NCI-H1694,688006,SCLC
NCI-H1836,1240182,SCLC
NCI-H187,688007,SCLC
NCI-H1876,1330972,SCLC
NCI-H196,1240186,SCLC
NCI-H1963,688010,SCLC
NCI-H2029,688011,SCLC
NCI-H2066,1330973,SCLC
NCI-H209,688013,SCLC
NCI-H211,1240189,SCLC
NCI-H2141,688014,SCLC
NCI-H2196,908481,SCLC
NCI-H2227,688018,SCLC
NCI-H250,924241,SCLC
NCI-H345,688021,SCLC
NCI-H378,688022,SCLC
NCI-H446,688023,SCLC
NCI-H510A,753605,SCLC
NCI-H524,908483,SCLC
NCI-H526,688025,SCLC
NCI-H64,688026,SCLC
NCI-H69,688027,SCLC
NCI-H748,909194,SCLC
NCI-H82,688031,SCLC
NCI-H841,1240192,SCLC
NCI-H847,1240193,SCLC
SBC-1,713885,SCLC
SBC-3,753610,SCLC
SBC-5,713880,SCLC
H2369,1290808,MESO
H2373,1290809,MESO
H2461,1290810,MESO
H2591,1240131,MESO
H2595,1240132,MESO
H2722,1290812,MESO
H2731,1240134,MESO
H2795,1290813,MESO
H2803,1240135,MESO
H2804,1240136,MESO
H2810,1240137,MESO
H2818,1290814,MESO
H2869,1240138,MESO
H290,1240139,MESO
H513,1240141,MESO
IST-MES1,907173,MESO
MPP-89,908150,MESO
MSTO-211H,908152,MESO
NCI-H2052,688058,MESO
NCI-H2452,908462,MESO
NCI-H28,908470,MESO
42-MG-BA,687561,GBM
8-MG-BA,687562,GBM
A172,687563,GBM
AM-38,910933,GBM
Becker,906746,GBM
CAS-1,910943,GBM
CCF-STTG1,906823,GBM
D-247MG,946367,GBM
D-263MG,946368,GBM
D-336MG,946369,LGG
D-392MG,946370,GBM
D-502MG,946373,LGG
D-542MG,753549,GBM
D-566MG,946377,GBM
DBTRG-05MG,906835,GBM
DK-MG,906839,GBM
GAMG,906868,LGG
GB-1,687568,GBM
GI-1,906871,LGG
GMS-10,906873,GBM
H4,907042,LGG
Hs683,1240150,LGG
KALS-1,907271,LGG
KINGS-1,907279,LGG
KNS-42,907282,LGG
KNS-81-FD,924188,LGG
KS-1,907313,GBM
LN-18,1240168,GBM
LN-229,1240169,GBM
LN-405,910694,GBM
LNZTA3WT4,1240170,GBM
M059J,949094,GBM
MOG-G-CCM,908144,LGG
MOG-G-UVW,908145,LGG
NMC-G1,908449,LGG
no-10,908452,LGG
no-11,908450,LGG
SF126,909712,GBM
SF268,905986,GBM
SF295,905985,GBM
SF539,905984,LGG
SK-MG-1,909729,GBM
SNB75,905982,GBM
SW1088,909745,GBM
SW1783,909750,LGG
T98G,687586,GBM
U-118-MG,687588,GBM
U251,905983,GBM
U-87-MG,687590,GBM
YH-13,909905,GBM
YKG-1,687592,GBM
D-283MED,906834,MB
Daoy,906833,MB
ONS-76,909248,MB
PFSK-1,683667,MB
BE2-M17,753616,NB
CHP-126,910567,NB
CHP-134,910941,NB
CHP-212,906820,NB
GI-ME-N,906872,NB
GOTO,906875,NB
IMR-5,907170,NB
KELLY,753618,NB
KP-N-YN,907314,NB
LAN-6,949170,NB
MHH-NB-11,908135,NB
NB(TU)1-10,1240181,NB
NB1,949179,NB
NB10,949171,NB
NB12,949172,NB
NB13,949177,NB
NB14,949178,NB
NB17,949175,NB
NB5,949176,NB
NB6,949173,NB
NB69,908440,NB
NB7,949174,NB
NH-12,908447,NB
SIMA,753620,NB
SK-N-AS,724828,NB
SK-N-DZ,688086,NB
SK-N-FI,688087,NB
SK-N-SH,717431,NB
TGW,910780,NB
AsPC-1,910702,PAAD
BxPC-3,906693,PAAD
CAPAN-1,753624,PAAD
Capan-2,910915,PAAD
CFPAC-1,906821,PAAD
DAN-G,1290797,PAAD
HPAC,1298136,PAAD
HPAF-II,724869,PAAD
Hs766T,1298141,PAAD
HuP-T3,907285,PAAD
HuP-T4,907286,PAAD
KP-1N,1298216,PAAD
KP-3,1298219,UNABLE TO CLASSIFY
KP-4,753572,PAAD
MIA-PaCa-2,724870,PAAD
MZ1-PC,753595,PAAD
PANC-02-03,1298475,PAAD
PANC-03-27,925346,PAAD
PANC-04-03,1298476,PAAD
PANC-08-13,925347,PAAD
PANC-10-05,925348,PAAD
PA-TU-8902,1298526,PAAD
PA-TU-8988T,1240201,PAAD
PL18,1240208,PAAD
PL4,1298533,PAAD
PSN1,910546,PAAD
SU8686,1240218,PAAD
SUIT-2,1240219,PAAD
SW1990,910907,PAAD
YAPC,909904,PAAD
451Lu,1287706,SKCM
A101D,910921,SKCM
A2058,906792,SKCM
A375,906793,SKCM
C32,906830,SKCM
CHL-1,910853,SKCM
COLO-679,906818,SKCM
COLO-792,906814,SKCM
COLO-800,906813,SKCM
COLO-829,687448,SKCM
CP50-MEL-B,753545,SKCM
CP66-MEL,753546,SKCM
G-361,906865,SKCM
GAK,910932,SKCM
G-MEL,1240130,SKCM
HMV-II,907058,SKCM
Hs940-T,1298145,SKCM
HT-144,907067,SKCM
IGR-1,907169,SKCM
IGR-37,1240153,SKCM
IPC-298,907171,SKCM
IST-MEL1,907172,SKCM
LB2518-MEL,753579,SKCM
LB373-MEL-D,753581,SKCM
LOXIMVI,905974,SKCM
M14,905975,SKCM
MEL-HO,908124,SKCM
MEL-JUSO,908125,SKCM
Mewo,908128,SKCM
MMAC-SF,925339,SKCM
MZ2-MEL,971777,SKCM
MZ7-mel,753596,SKCM
RPMI-7951,910903,SKCM
RVH-421,909706,SKCM
SH-4,909713,SKCM
SK-MEL-1,909723,SKCM
SK-MEL-2,905955,SKCM
SK-MEL-24,909725,SKCM
SK-MEL-28,905954,SKCM
SK-MEL-3,909724,SKCM
SK-MEL-30,909726,SKCM
SK-MEL-31,909727,SKCM
SK-MEL-5,905956,SKCM
UACC-257,905977,SKCM
UACC-62,905976,SKCM
WM-115,909784,SKCM
WM1552C,1299078,SKCM
